"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group"
"94","10200212","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom (Tangential)","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"95","10200213","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Wet Slurry","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"96","10200217","Point","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"97","10200218","Point","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"98","10200219","Point","Ext Comb /Industrial /Bituminous Coal /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"99","10200221","Point","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"100","10200222","Point","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"101","10200223","Point","Ext Comb /Industrial /Subbituminous Coal /Cyclone Furnace","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"102","10200224","Point","Ext Comb /Industrial /Subbituminous Coal /Spreader Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"103","10200225","Point","Ext Comb /Industrial /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"104","10200226","Point","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"105","10200229","Point","Ext Comb /Industrial /Subbituminous Coal /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"106","10200300","Point","Ext Comb /Industrial /Lignite /Pulverized Coal: Wet Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"107","10200301","Point","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"108","10200302","Point","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"109","10200303","Point","Ext Comb /Industrial /Lignite /Cyclone Furnace","Fuel Comb - Industrial Boilers, ICEs - Coal",""
